store_id,store_name,store_type,customer_name,place_name,town
N4153,Local Nesco North Winshaw,convenience,Nesco,North Winshaw,Winshaw
P2306,Platerows Ashcombe,main,Platerows,Ashcombe,Ashcombe
M5869,Mainsburys South Bramwyck,main,Mainsburys,South Bramwyck,Bramwyck
P2046,Platerows West Avenbury,main,Platerows,West Avenbury,Avenbury
M5985,Mainsburys Grimthorpe,main,Mainsburys,Grimthorpe,Grimthorpe
P21,Platerows East Rockington,main,Platerows,East Rockington,Rockington
M2056,Mainsburys Lower Somerleigh,main,Mainsburys,Lower Somerleigh,Somerleigh
T2353,Torrisons Pennbrook,main,Torrisons,Pennbrook,Pennbrook
M235,Local Mainsburys South Rothermere,convenience,Mainsburys,South Rothermere,Rothermere
M3013,Local Mainsburys Clayworth,convenience,Mainsburys,Clayworth,Clayworth
T3564,Torrisons Upper Harrowmere,main,Torrisons,Upper Harrowmere,Harrowmere
P3677,Little Platerows South Hawkenridge,convenience,Platerows,South Hawkenridge,Hawkenridge
P6389,Platerows Upper Dorleigh,main,Platerows,Upper Dorleigh,Dorleigh
P2954,Platerows West Fenleigh,main,Platerows,West Fenleigh,Fenleigh
P823,Platerows South Thornwick,main,Platerows,South Thornwick,Thornwick
T3411,Torrisons Lower Draycott,main,Torrisons,Lower Draycott,Draycott
N3784,Nesco Upper Hawkenridge,main,Nesco,Upper Hawkenridge,Hawkenridge
M3750,Mainsburys East Greengate,main,Mainsburys,East Greengate,Greengate
P5511,Platerows North Huntwick,main,Platerows,North Huntwick,Huntwick
P5532,Platerows North Drummondale,main,Platerows,North Drummondale,Drummondale
N82,Local Nesco West Ravenmere,convenience,Nesco,West Ravenmere,Ravenmere
N6548,Nesco South Meresbourne,main,Nesco,South Meresbourne,Meresbourne
P505,Platerows North Larkminster,main,Platerows,North Larkminster,Larkminster
M299,Local Mainsburys West Chilversham,convenience,Mainsburys,West Chilversham,Chilversham
P6754,Little Platerows East Cherriford,convenience,Platerows,East Cherriford,Cherriford
P7177,Little Platerows West Luddington,convenience,Platerows,West Luddington,Luddington
P3575,Little Platerows South Coldminster,convenience,Platerows,South Coldminster,Coldminster
M6022,Local Mainsburys East Blisworth,convenience,Mainsburys,East Blisworth,Blisworth
P1847,Platerows Upper Buckleigh,main,Platerows,Upper Buckleigh,Buckleigh
M1006,Mainsburys Hogsden,main,Mainsburys,Hogsden,Hogsden
P6603,Little Platerows West Ravenmere,convenience,Platerows,West Ravenmere,Ravenmere
P6723,Little Platerows Upper Marbury,convenience,Platerows,Upper Marbury,Marbury
N1704,Local Nesco West Marlington,convenience,Nesco,West Marlington,Marlington
N5568,Nesco Denthorpe,main,Nesco,Denthorpe,Denthorpe
M5553,Local Mainsburys North Eddington,convenience,Mainsburys,North Eddington,Eddington
T1565,Torrisons Upper Stagthorne,main,Torrisons,Upper Stagthorne,Stagthorne
M2678,Mainsburys East Fairholt,main,Mainsburys,East Fairholt,Fairholt
P4325,Platerows Lower Goldwynn,main,Platerows,Lower Goldwynn,Goldwynn
N587,Nesco West Oatmere,main,Nesco,West Oatmere,Oatmere
M5765,Mainsburys Lower Keswicke,main,Mainsburys,Lower Keswicke,Keswicke
P2882,Little Platerows Upper Charnwood,convenience,Platerows,Upper Charnwood,Charnwood
M178,Local Mainsburys East Lunsfield,convenience,Mainsburys,East Lunsfield,Lunsfield
P3673,Little Platerows Upper Shaldwick,convenience,Platerows,Upper Shaldwick,Shaldwick
M5012,Local Mainsburys Upper Delmere,convenience,Mainsburys,Upper Delmere,Delmere
M6027,Local Mainsburys Upper Norhollow,convenience,Mainsburys,Upper Norhollow,Norhollow
T5906,Torrisons West Ashcombe,main,Torrisons,West Ashcombe,Ashcombe
N1982,Nesco East Greythorne,main,Nesco,East Greythorne,Greythorne
M544,Mainsburys East Cherriford,main,Mainsburys,East Cherriford,Cherriford
P2571,Platerows South Langmere,main,Platerows,South Langmere,Langmere
M5209,Mainsburys North Elmwych,main,Mainsburys,North Elmwych,Elmwych
M3649,Local Mainsburys Harthwick,convenience,Mainsburys,Harthwick,Harthwick
P2372,Little Platerows South Highmere,convenience,Platerows,South Highmere,Highmere
M4199,Local Mainsburys Upper Dunsmere,convenience,Mainsburys,Upper Dunsmere,Dunsmere
T2223,Torrisons North Netherton,main,Torrisons,North Netherton,Netherton
P1364,Little Platerows West Stonleigh,convenience,Platerows,West Stonleigh,Stonleigh
M1063,Local Mainsburys Lower Draycott,convenience,Mainsburys,Lower Draycott,Draycott
N2865,Local Nesco Hallmere,convenience,Nesco,Hallmere,Hallmere
N3686,Nesco West Dorleigh,main,Nesco,West Dorleigh,Dorleigh
M50,Mainsburys Lower Ironmere,main,Mainsburys,Lower Ironmere,Ironmere
N1853,Nesco West Larkminster,main,Nesco,West Larkminster,Larkminster
N4283,Nesco North Foxglade,main,Nesco,North Foxglade,Foxglade
P2350,Platerows Lower Greengate,main,Platerows,Lower Greengate,Greengate
N1827,Local Nesco Lower Greythorne,convenience,Nesco,Lower Greythorne,Greythorne
P2276,Platerows West Highmere,main,Platerows,West Highmere,Highmere
N3654,Nesco West Ketterly,main,Nesco,West Ketterly,Ketterly
M219,Mainsburys West Bleakmere,main,Mainsburys,West Bleakmere,Bleakmere
P2084,Platerows North Quenndale,main,Platerows,North Quenndale,Quenndale
M5233,Mainsburys Mossthorpe,main,Mainsburys,Mossthorpe,Mossthorpe
P4633,Platerows East Thatchwyke,main,Platerows,East Thatchwyke,Thatchwyke
P3023,Little Platerows North Hogsden,convenience,Platerows,North Hogsden,Hogsden
N1843,Nesco Welford,main,Nesco,Welford,Welford
M3313,Local Mainsburys South Thornhollow,convenience,Mainsburys,South Thornhollow,Thornhollow
P6249,Platerows Wickhamford,main,Platerows,Wickhamford,Wickhamford
M7206,Local Mainsburys North Coldminster,convenience,Mainsburys,North Coldminster,Coldminster
P4773,Platerows South Mallowmere,main,Platerows,South Mallowmere,Mallowmere
N4466,Nesco North Eldermoor,main,Nesco,North Eldermoor,Eldermoor
P5799,Platerows East Foxglade,main,Platerows,East Foxglade,Foxglade
P7340,Platerows Upper Westleigh,main,Platerows,Upper Westleigh,Westleigh
M1285,Local Mainsburys West Huntwick,convenience,Mainsburys,West Huntwick,Huntwick
P98,Little Platerows Redwick,convenience,Platerows,Redwick,Redwick
N3121,Local Nesco East Bramwyck,convenience,Nesco,East Bramwyck,Bramwyck
M3922,Mainsburys Upper Winshaw,main,Mainsburys,Upper Winshaw,Winshaw
P6428,Little Platerows Upper Emsworth,convenience,Platerows,Upper Emsworth,Emsworth
P2050,Platerows Lower Draycott,main,Platerows,Lower Draycott,Draycott
N663,Local Nesco West Pendlestone,convenience,Nesco,West Pendlestone,Pendlestone
P5879,Platerows Upper Stonleigh,main,Platerows,Upper Stonleigh,Stonleigh
P6209,Platerows East Netherton,main,Platerows,East Netherton,Netherton
T4349,Torrisons Upper Rindleton,main,Torrisons,Upper Rindleton,Rindleton
P7325,Little Platerows Broxted,convenience,Platerows,Broxted,Broxted
T7263,Torrisons South Quenndale,main,Torrisons,South Quenndale,Quenndale
N186,Local Nesco North Mapplethorpe,convenience,Nesco,North Mapplethorpe,Mapplethorpe
M3700,Local Mainsburys South Craydon,convenience,Mainsburys,South Craydon,Craydon
T4450,Torrisons Upper Dunbridge,main,Torrisons,Upper Dunbridge,Dunbridge
N2953,Local Nesco South Foxglade,convenience,Nesco,South Foxglade,Foxglade
P2579,Platerows Lower Cornthwaite,main,Platerows,Lower Cornthwaite,Cornthwaite
M6736,Local Mainsburys West Hadlow,convenience,Mainsburys,West Hadlow,Hadlow
N352,Local Nesco Upper Marlington,convenience,Nesco,Upper Marlington,Marlington
M2298,Local Mainsburys West Fallhurst,convenience,Mainsburys,West Fallhurst,Fallhurst
T7038,Torrisons South Foxglade,main,Torrisons,South Foxglade,Foxglade
N6746,Local Nesco West Dorleigh,convenience,Nesco,West Dorleigh,Dorleigh
N4843,Local Nesco Norhollow,convenience,Nesco,Norhollow,Norhollow
P3688,Platerows Upper Farrowgate,main,Platerows,Upper Farrowgate,Farrowgate
T2640,Torrisons West Dorleigh,main,Torrisons,West Dorleigh,Dorleigh
M6872,Local Mainsburys North Alderwyck,convenience,Mainsburys,North Alderwyck,Alderwyck
T2123,Torrisons Grimsbyrn,main,Torrisons,Grimsbyrn,Grimsbyrn
P7338,Little Platerows Upper Craydon,convenience,Platerows,Upper Craydon,Craydon
P3064,Little Platerows West Carlington,convenience,Platerows,West Carlington,Carlington
P1272,Little Platerows Upper Fenleigh,convenience,Platerows,Upper Fenleigh,Fenleigh
N3319,Local Nesco South Gildermere,convenience,Nesco,South Gildermere,Gildermere
N5130,Nesco North Clayworth,main,Nesco,North Clayworth,Clayworth
M5325,Local Mainsburys East Coldminster,convenience,Mainsburys,East Coldminster,Coldminster
M6641,Mainsburys Lower Mossthorpe,main,Mainsburys,Lower Mossthorpe,Mossthorpe
N2509,Nesco South Fallowden,main,Nesco,South Fallowden,Fallowden
N331,Nesco Brindleford,main,Nesco,Brindleford,Brindleford
T5936,Torrisons Lower Eastmere,main,Torrisons,Lower Eastmere,Eastmere
M4182,Mainsburys Upper Norhollow,main,Mainsburys,Upper Norhollow,Norhollow
N314,Local Nesco North Quetherby,convenience,Nesco,North Quetherby,Quetherby
M5889,Mainsburys East Cornthwaite,main,Mainsburys,East Cornthwaite,Cornthwaite
N4070,Local Nesco South Clayworth,convenience,Nesco,South Clayworth,Clayworth
T6629,Torrisons South Ravenmere,main,Torrisons,South Ravenmere,Ravenmere
P3431,Little Platerows Mossthorpe,convenience,Platerows,Mossthorpe,Mossthorpe
M1158,Mainsburys West Thornwick,main,Mainsburys,West Thornwick,Thornwick
N4855,Local Nesco South Ledbury,convenience,Nesco,South Ledbury,Ledbury
M5993,Mainsburys East Yarrowby,main,Mainsburys,East Yarrowby,Yarrowby
T6299,Torrisons North Goldwynn,main,Torrisons,North Goldwynn,Goldwynn
N5662,Local Nesco Upper Casterly,convenience,Nesco,Upper Casterly,Casterly
N3755,Local Nesco West Avenbury,convenience,Nesco,West Avenbury,Avenbury
M6588,Local Mainsburys East Eldwich,convenience,Mainsburys,East Eldwich,Eldwich
N5264,Local Nesco North Ormsleigh,convenience,Nesco,North Ormsleigh,Ormsleigh
P2181,Little Platerows West Harthwick,convenience,Platerows,West Harthwick,Harthwick
N4259,Nesco North Brightmere,main,Nesco,North Brightmere,Brightmere
P2644,Platerows West Emsworth,main,Platerows,West Emsworth,Emsworth
N3251,Local Nesco South Oxtonford,convenience,Nesco,South Oxtonford,Oxtonford
N1848,Nesco South Hadlow,main,Nesco,South Hadlow,Hadlow
N1524,Local Nesco North Ledbury,convenience,Nesco,North Ledbury,Ledbury
M6301,Local Mainsburys North Mossthorpe,convenience,Mainsburys,North Mossthorpe,Mossthorpe
P2829,Platerows South Ravenmere,main,Platerows,South Ravenmere,Ravenmere
P7318,Platerows North Shaldwick,main,Platerows,North Shaldwick,Shaldwick
T375,Torrisons Lower Mossthorpe,main,Torrisons,Lower Mossthorpe,Mossthorpe
P3585,Little Platerows Upper Blisworth,convenience,Platerows,Upper Blisworth,Blisworth
N3368,Nesco West Ravengate,main,Nesco,West Ravengate,Ravengate
P3499,Little Platerows West Shaldwick,convenience,Platerows,West Shaldwick,Shaldwick
P476,Little Platerows Wintermere,convenience,Platerows,Wintermere,Wintermere
P5764,Platerows Fallhurst,main,Platerows,Fallhurst,Fallhurst
N6237,Local Nesco Lower Saxmere,convenience,Nesco,Lower Saxmere,Saxmere
M776,Mainsburys North Brindleford,main,Mainsburys,North Brindleford,Brindleford
P4108,Little Platerows West Marlington,convenience,Platerows,West Marlington,Marlington
P48,Little Platerows Northwyke,convenience,Platerows,Northwyke,Northwyke
T3816,Torrisons North Haythorne,main,Torrisons,North Haythorne,Haythorne
M5017,Local Mainsburys Lower Mallowmere,convenience,Mainsburys,Lower Mallowmere,Mallowmere
N4307,Local Nesco West Deepmere,convenience,Nesco,West Deepmere,Deepmere
M5393,Local Mainsburys West Quenndale,convenience,Mainsburys,West Quenndale,Quenndale
T7011,Torrisons East Farrowgate,main,Torrisons,East Farrowgate,Farrowgate
N762,Local Nesco North Colmere,convenience,Nesco,North Colmere,Colmere
N5185,Nesco Lower Larkminster,main,Nesco,Lower Larkminster,Larkminster
M4662,Local Mainsburys South Colmere,convenience,Mainsburys,South Colmere,Colmere
P4002,Platerows East Fallowden,main,Platerows,East Fallowden,Fallowden
N1765,Nesco North Larkminster,main,Nesco,North Larkminster,Larkminster
M6925,Local Mainsburys Crowleigh,convenience,Mainsburys,Crowleigh,Crowleigh
T4673,Torrisons West Elmwych,main,Torrisons,West Elmwych,Elmwych
N7287,Local Nesco Upper Brindleford,convenience,Nesco,Upper Brindleford,Brindleford
M7290,Mainsburys Fallhurst,main,Mainsburys,Fallhurst,Fallhurst
M2615,Local Mainsburys Lower Welford,convenience,Mainsburys,Lower Welford,Welford
P1187,Little Platerows Upper Bleakmere,convenience,Platerows,Upper Bleakmere,Bleakmere
M5564,Mainsburys East Tatterby,main,Mainsburys,East Tatterby,Tatterby
N1932,Nesco Lower Fairholt,main,Nesco,Lower Fairholt,Fairholt
M4426,Mainsburys East Rothermere,main,Mainsburys,East Rothermere,Rothermere
P5287,Little Platerows Upper Highmere,convenience,Platerows,Upper Highmere,Highmere
P4414,Platerows East Eastmere,main,Platerows,East Eastmere,Eastmere
P180,Platerows Upper Ayleswick,main,Platerows,Upper Ayleswick,Ayleswick
T1796,Torrisons North Drummondale,main,Torrisons,North Drummondale,Drummondale
N4617,Nesco Lower Goldwynn,main,Nesco,Lower Goldwynn,Goldwynn
T2582,Torrisons East Mapplethorpe,main,Torrisons,East Mapplethorpe,Mapplethorpe
P1943,Little Platerows East Brambleton,convenience,Platerows,East Brambleton,Brambleton
M5898,Local Mainsburys West Cragmere,convenience,Mainsburys,West Cragmere,Cragmere
M2981,Mainsburys East Rindleton,main,Mainsburys,East Rindleton,Rindleton
T4882,Torrisons West Netherton,main,Torrisons,West Netherton,Netherton
P4098,Little Platerows Upper Wintermere,convenience,Platerows,Upper Wintermere,Wintermere
M2139,Mainsburys West Lowdenham,main,Mainsburys,West Lowdenham,Lowdenham
P4803,Little Platerows West Larkminster,convenience,Platerows,West Larkminster,Larkminster
P5297,Little Platerows Lower Everdale,convenience,Platerows,Lower Everdale,Everdale
M7023,Local Mainsburys Southmere,convenience,Mainsburys,Southmere,Southmere
M4133,Mainsburys South Colmere,main,Mainsburys,South Colmere,Colmere
M5065,Mainsburys West Harrowmere,main,Mainsburys,West Harrowmere,Harrowmere
M7337,Mainsburys West Hallmere,main,Mainsburys,West Hallmere,Hallmere
P7001,Platerows Saxmere,main,Platerows,Saxmere,Saxmere
N3403,Nesco Upper Midcombe,main,Nesco,Upper Midcombe,Midcombe
N4614,Nesco Upper Branscombe,main,Nesco,Upper Branscombe,Branscombe
N869,Local Nesco North Ravengate,convenience,Nesco,North Ravengate,Ravengate
T5891,Torrisons West Branscombe,main,Torrisons,West Branscombe,Branscombe
N7045,Local Nesco North Mistridge,convenience,Nesco,North Mistridge,Mistridge
M6563,Local Mainsburys Lower Eldwich,convenience,Mainsburys,Lower Eldwich,Eldwich
M2547,Local Mainsburys South Hawkenridge,convenience,Mainsburys,South Hawkenridge,Hawkenridge
N2487,Nesco Upper Fenshire,main,Nesco,Upper Fenshire,Fenshire
P5414,Platerows South Uxmere,main,Platerows,South Uxmere,Uxmere
N4391,Local Nesco Marlington,convenience,Nesco,Marlington,Marlington
P3681,Little Platerows South Langmere,convenience,Platerows,South Langmere,Langmere
N3037,Nesco Lower Colmere,main,Nesco,Lower Colmere,Colmere
T6204,Torrisons Midcombe,main,Torrisons,Midcombe,Midcombe
M3798,Mainsburys Hollowbrook,main,Mainsburys,Hollowbrook,Hollowbrook
N6376,Local Nesco South Bleakmere,convenience,Nesco,South Bleakmere,Bleakmere
N386,Local Nesco West Hogsden,convenience,Nesco,West Hogsden,Hogsden
P3413,Little Platerows North Stonleigh,convenience,Platerows,North Stonleigh,Stonleigh
M3925,Mainsburys Upper Brackmere,main,Mainsburys,Upper Brackmere,Brackmere
P5063,Little Platerows Lower Coldminster,convenience,Platerows,Lower Coldminster,Coldminster
M6219,Local Mainsburys South Buckleigh,convenience,Mainsburys,South Buckleigh,Buckleigh
N6565,Local Nesco Upper Winshaw,convenience,Nesco,Upper Winshaw,Winshaw
M4204,Mainsburys North Brackmere,main,Mainsburys,North Brackmere,Brackmere
M4066,Local Mainsburys East Pennbrook,convenience,Mainsburys,East Pennbrook,Pennbrook
P1351,Little Platerows Upper Foxglade,convenience,Platerows,Upper Foxglade,Foxglade
T4323,Torrisons Upper Cherriford,main,Torrisons,Upper Cherriford,Cherriford
N1822,Nesco Lower Brackmere,main,Nesco,Lower Brackmere,Brackmere
P1201,Platerows Lower Dunsmere,main,Platerows,Lower Dunsmere,Dunsmere
N2767,Nesco South Litchwood,main,Nesco,South Litchwood,Litchwood
T6899,Torrisons West Falkenridge,main,Torrisons,West Falkenridge,Falkenridge
M4405,Mainsburys East Chilversham,main,Mainsburys,East Chilversham,Chilversham
P978,Platerows South Darrowby,main,Platerows,South Darrowby,Darrowby
P4000,Little Platerows North Ledbury,convenience,Platerows,North Ledbury,Ledbury
P2053,Platerows Rindleton,main,Platerows,Rindleton,Rindleton
P6102,Platerows Upper Norcombe,main,Platerows,Upper Norcombe,Norcombe
P4430,Little Platerows Drayminster,convenience,Platerows,Drayminster,Drayminster
N3207,Nesco North Eddington,main,Nesco,North Eddington,Eddington
N3183,Local Nesco Lower Branscombe,convenience,Nesco,Lower Branscombe,Branscombe
T2099,Torrisons East Larkminster,main,Torrisons,East Larkminster,Larkminster
N7140,Local Nesco West Litchwood,convenience,Nesco,West Litchwood,Litchwood
P1451,Little Platerows East Lunsfield,convenience,Platerows,East Lunsfield,Lunsfield
N782,Nesco South Wintermere,main,Nesco,South Wintermere,Wintermere
N741,Local Nesco North Norcombe,convenience,Nesco,North Norcombe,Norcombe
M1871,Local Mainsburys Upper Fenbrook,convenience,Mainsburys,Upper Fenbrook,Fenbrook
M7108,Mainsburys Upper Cherriford,main,Mainsburys,Upper Cherriford,Cherriford
P4754,Little Platerows East Elmwych,convenience,Platerows,East Elmwych,Elmwych
P1894,Little Platerows West Blisworth,convenience,Platerows,West Blisworth,Blisworth
M3657,Local Mainsburys Upper Deepmere,convenience,Mainsburys,Upper Deepmere,Deepmere
M4694,Mainsburys Lower Cragmere,main,Mainsburys,Lower Cragmere,Cragmere
P2214,Platerows North Gainsworth,main,Platerows,North Gainsworth,Gainsworth
N227,Local Nesco Fenleigh,convenience,Nesco,Fenleigh,Fenleigh
M7109,Mainsburys Upper Harrowmere,main,Mainsburys,Upper Harrowmere,Harrowmere
P4062,Platerows Upper Fenshire,main,Platerows,Upper Fenshire,Fenshire
M5786,Mainsburys North Crowleigh,main,Mainsburys,North Crowleigh,Crowleigh
P2382,Little Platerows Lower Cherriford,convenience,Platerows,Lower Cherriford,Cherriford
P6158,Platerows Lower Quetherby,main,Platerows,Lower Quetherby,Quetherby
N4435,Local Nesco West Greengate,convenience,Nesco,West Greengate,Greengate
N3523,Local Nesco West Clovenshire,convenience,Nesco,West Clovenshire,Clovenshire
M6784,Local Mainsburys East Harbury,convenience,Mainsburys,East Harbury,Harbury
N3143,Nesco Upper Wrenford,main,Nesco,Upper Wrenford,Wrenford
N4566,Nesco Ledbury,main,Nesco,Ledbury,Ledbury
P3898,Platerows North Coldminster,main,Platerows,North Coldminster,Coldminster
T6624,Torrisons East Branscombe,main,Torrisons,East Branscombe,Branscombe
P1260,Platerows Lower Keswicke,main,Platerows,Lower Keswicke,Keswicke
M1718,Local Mainsburys North Puddlewyke,convenience,Mainsburys,North Puddlewyke,Puddlewyke
N4512,Nesco Upper Hadlow,main,Nesco,Upper Hadlow,Hadlow
N3173,Local Nesco Lower Hitherwick,convenience,Nesco,Lower Hitherwick,Hitherwick
P5749,Platerows South Luddington,main,Platerows,South Luddington,Luddington
N3710,Local Nesco North Quenndale,convenience,Nesco,North Quenndale,Quenndale
N1343,Nesco South Elderwick,main,Nesco,South Elderwick,Elderwick
T1551,Torrisons North Lunsfield,main,Torrisons,North Lunsfield,Lunsfield
P571,Little Platerows Wrenford,convenience,Platerows,Wrenford,Wrenford
N1028,Nesco Upper Bleakmere,main,Nesco,Upper Bleakmere,Bleakmere
N1046,Nesco Quenndale,main,Nesco,Quenndale,Quenndale
M5773,Mainsburys South Rockington,main,Mainsburys,South Rockington,Rockington
N51,Nesco East Thistlemere,main,Nesco,East Thistlemere,Thistlemere
M4580,Local Mainsburys Lower Ketterly,convenience,Mainsburys,Lower Ketterly,Ketterly
N4586,Local Nesco West Harbury,convenience,Nesco,West Harbury,Harbury
P1341,Little Platerows South Oakenshire,convenience,Platerows,South Oakenshire,Oakenshire
M1799,Mainsburys South Hawkenridge,main,Mainsburys,South Hawkenridge,Hawkenridge
N2319,Nesco Lower Pennbrook,main,Nesco,Lower Pennbrook,Pennbrook
P3202,Platerows East Wickhamford,main,Platerows,East Wickhamford,Wickhamford
T420,Torrisons West Goldwynn,main,Torrisons,West Goldwynn,Goldwynn
N6523,Nesco East Greengate,main,Nesco,East Greengate,Greengate
N3522,Nesco West Marlington,main,Nesco,West Marlington,Marlington
P4500,Platerows South Loxborough,main,Platerows,South Loxborough,Loxborough
M141,Mainsburys Lower Denthorpe,main,Mainsburys,Lower Denthorpe,Denthorpe
N3328,Local Nesco Upper Hogsden,convenience,Nesco,Upper Hogsden,Hogsden
M2544,Local Mainsburys Lower Cherriford,convenience,Mainsburys,Lower Cherriford,Cherriford
N4230,Local Nesco Lower Chilversham,convenience,Nesco,Lower Chilversham,Chilversham
T3751,Torrisons Upper Hollowbrook,main,Torrisons,Upper Hollowbrook,Hollowbrook
M5976,Mainsburys West Pennbrook,main,Mainsburys,West Pennbrook,Pennbrook
T2122,Torrisons West Mapplethorpe,main,Torrisons,West Mapplethorpe,Mapplethorpe
N3373,Nesco South Cragmere,main,Nesco,South Cragmere,Cragmere
P140,Little Platerows Lower Welford,convenience,Platerows,Lower Welford,Welford
N4894,Nesco Lower Brambleton,main,Nesco,Lower Brambleton,Brambleton
T3883,Torrisons Oxtonford,main,Torrisons,Oxtonford,Oxtonford
P1721,Platerows Upper Mapplethorpe,main,Platerows,Upper Mapplethorpe,Mapplethorpe
N891,Local Nesco West Brindleford,convenience,Nesco,West Brindleford,Brindleford
P4135,Platerows West Pennbrook,main,Platerows,West Pennbrook,Pennbrook
P5357,Platerows Lower Saxmere,main,Platerows,Lower Saxmere,Saxmere
N1838,Local Nesco Greengate,convenience,Nesco,Greengate,Greengate
M2490,Mainsburys East Alderwyck,main,Mainsburys,East Alderwyck,Alderwyck
N1957,Local Nesco East Ketterly,convenience,Nesco,East Ketterly,Ketterly
N7226,Nesco South Stagthorne,main,Nesco,South Stagthorne,Stagthorne
P6590,Little Platerows Ayleswick,convenience,Platerows,Ayleswick,Ayleswick
N6425,Local Nesco Windmere,convenience,Nesco,Windmere,Windmere
N1908,Local Nesco Upper Gildermere,convenience,Nesco,Upper Gildermere,Gildermere
M579,Mainsburys South Drayminster,main,Mainsburys,South Drayminster,Drayminster
P4134,Little Platerows North Langmere,convenience,Platerows,North Langmere,Langmere
M194,Mainsburys Lower Windmere,main,Mainsburys,Lower Windmere,Windmere
T2774,Torrisons Lower Stonleigh,main,Torrisons,Lower Stonleigh,Stonleigh
P3390,Platerows South Thatchwyke,main,Platerows,South Thatchwyke,Thatchwyke
T5141,Torrisons West Deepmere,main,Torrisons,West Deepmere,Deepmere
M5257,Local Mainsburys South Harrowmere,convenience,Mainsburys,South Harrowmere,Harrowmere
N878,Nesco South Stonleigh,main,Nesco,South Stonleigh,Stonleigh
T332,Torrisons Lower Dunbridge,main,Torrisons,Lower Dunbridge,Dunbridge
T1937,Torrisons Lower Elderwick,main,Torrisons,Lower Elderwick,Elderwick
N2409,Nesco Upper Ravengate,main,Nesco,Upper Ravengate,Ravengate
T7248,Torrisons Yoxminster,main,Torrisons,Yoxminster,Yoxminster
N564,Nesco Lower Haythorne,main,Nesco,Lower Haythorne,Haythorne
P4761,Little Platerows Upper Goldwynn,convenience,Platerows,Upper Goldwynn,Goldwynn
P3495,Platerows North Ironmere,main,Platerows,North Ironmere,Ironmere
N4658,Local Nesco North Fallowden,convenience,Nesco,North Fallowden,Fallowden
M3659,Mainsburys Lower Craydon,main,Mainsburys,Lower Craydon,Craydon
M4159,Mainsburys South Cherriford,main,Mainsburys,South Cherriford,Cherriford
M3222,Mainsburys South Southmere,main,Mainsburys,South Southmere,Southmere
P1991,Little Platerows East Quenndale,convenience,Platerows,East Quenndale,Quenndale
N6675,Local Nesco Upper Elmwych,convenience,Nesco,Upper Elmwych,Elmwych
N1397,Local Nesco Drayminster,convenience,Nesco,Drayminster,Drayminster
T5513,Torrisons South Welford,main,Torrisons,South Welford,Welford
M2444,Mainsburys Drummondale,main,Mainsburys,Drummondale,Drummondale
N498,Local Nesco East Farrowgate,convenience,Nesco,East Farrowgate,Farrowgate
P3193,Platerows North Hollowbrook,main,Platerows,North Hollowbrook,Hollowbrook
P1057,Little Platerows North Foxworth,convenience,Platerows,North Foxworth,Foxworth
M1589,Local Mainsburys Stonleigh,convenience,Mainsburys,Stonleigh,Stonleigh
P289,Platerows North Banebridge,main,Platerows,North Banebridge,Banebridge
T3619,Torrisons Lower Goldwynn,main,Torrisons,Lower Goldwynn,Goldwynn
P501,Little Platerows West Wexford,convenience,Platerows,West Wexford,Wexford
M1080,Mainsburys West Brindleford,main,Mainsburys,West Brindleford,Brindleford
M3221,Local Mainsburys South Quenndale,convenience,Mainsburys,South Quenndale,Quenndale
P4819,Little Platerows West Somerleigh,convenience,Platerows,West Somerleigh,Somerleigh
P5644,Little Platerows South Hartmere,convenience,Platerows,South Hartmere,Hartmere
T491,Torrisons East Deepmere,main,Torrisons,East Deepmere,Deepmere
T6780,Torrisons East Hogsden,main,Torrisons,East Hogsden,Hogsden
M3653,Local Mainsburys Lower Wetherbrook,convenience,Mainsburys,Lower Wetherbrook,Wetherbrook
N5490,Nesco West Yarrowby,main,Nesco,West Yarrowby,Yarrowby
N6786,Nesco West Pelhamstead,main,Nesco,West Pelhamstead,Pelhamstead
N7076,Local Nesco Alderwyck,convenience,Nesco,Alderwyck,Alderwyck
M2681,Local Mainsburys East Eastmere,convenience,Mainsburys,East Eastmere,Eastmere
P6656,Little Platerows East Hollowbrook,convenience,Platerows,East Hollowbrook,Hollowbrook
T4152,Torrisons Upper Gildermere,main,Torrisons,Upper Gildermere,Gildermere
P5725,Little Platerows West Rockington,convenience,Platerows,West Rockington,Rockington
M6526,Mainsburys West Grimsbyrn,main,Mainsburys,West Grimsbyrn,Grimsbyrn
P494,Platerows South Pelhamstead,main,Platerows,South Pelhamstead,Pelhamstead
M3644,Mainsburys Cherriford,main,Mainsburys,Cherriford,Cherriford
P681,Little Platerows West Ormsleigh,convenience,Platerows,West Ormsleigh,Ormsleigh
M5872,Mainsburys North Pennbrook,main,Mainsburys,North Pennbrook,Pennbrook
N216,Local Nesco South Northwyke,convenience,Nesco,South Northwyke,Northwyke
P1348,Platerows Lower Brambleton,main,Platerows,Lower Brambleton,Brambleton
T4790,Torrisons West Stagthorne,main,Torrisons,West Stagthorne,Stagthorne
T6870,Torrisons North Quenndale,main,Torrisons,North Quenndale,Quenndale
N1614,Nesco East Blackmere,main,Nesco,East Blackmere,Blackmere
N1,Nesco Fairholt,main,Nesco,Fairholt,Fairholt
P2984,Little Platerows North Harrowmere,convenience,Platerows,North Harrowmere,Harrowmere
P6480,Platerows Upper Foxglade,main,Platerows,Upper Foxglade,Foxglade
N635,Nesco East Southmere,main,Nesco,East Southmere,Southmere
